"","genes","merge","value","ID_sample","ID_lab","Lib","Seq_batch","Numero_unique_groupe","Numero_unique_specimen","Weight","Length","TAG","Tank_exp","Tank_sample","Temperature_acclim","Temperature_sampling","Delta_acclim","Delta_temperature","DatHr_euthan","deltaT.ARN","Time","ID","acclim","sampling","Delta_short","Delta_long","cluster","cutoff0.001","cutoff0.018","cutoff0.03","cutoff0.071","cutoff0.16","cutoff0.284","cutoff0.444","cutoff0.524","cutoff0.64","cutoff0.871","cutoff1.138","cutoff1.44","cutoff1.778","cutoff2.151","cutoff2.409","cutoff3.004","cutoff3.484","cutoff4","sum_cluster","sum_cluster2","cluster2","cluster_new"
"13","SEFA.13491.13","7.55",-0.37225847790205,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"14","SEFA.13491.14","7.55",-0.342242884224481,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"15","SEFA.13491.15","7.55",-0.354260687132361,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"16","SEFA.13491.16","7.55",-0.354260687132361,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"17","SEFA.16369.1","7.55",-0.326414006488445,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"18","SEFA.16369.2","7.55",-0.330204979699332,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"19","SEFA.16369.3","7.55",-0.333383105987627,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"20","SEFA.16369.4","7.55",-0.322576971139293,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"21","SEFA.16369.5","7.55",-0.325247684064156,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"22","SEFA.16369.6","7.55",-0.327820063922825,"ARN_22_00005","S05","NS.1812.001.NEBNext_dual_i7_207---NEBNext_dual_i5_255.ARN_22_00005","1812","G_21_09215","S_21_06004",271.5,257,34245,"B4","A3",7.5,5,"10mo",2.5,44489.39,125,"24h","1812.ARN_22_00005","7.5","5","down","2.5",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
