"","genes","merge","value","ID_sample","ID_lab","Lib","Seq_batch","Numero_unique_groupe","Numero_unique_specimen","Weight","Length","TAG","Tank_exp","Tank_sample","Temperature_acclim","Temperature_sampling","Delta_acclim","Delta_temperature","DatHr_euthan","deltaT.ARN","Time","ID","acclim","sampling","Delta_short","Delta_long","cluster","cutoff0.001","cutoff0.018","cutoff0.03","cutoff0.071","cutoff0.16","cutoff0.284","cutoff0.444","cutoff0.524","cutoff0.64","cutoff0.871","cutoff1.138","cutoff1.44","cutoff1.778","cutoff2.151","cutoff2.409","cutoff3.004","cutoff3.484","cutoff4","sum_cluster","sum_cluster2","cluster2","cluster_new"
"555","SEFA.16369.7","57.5",0.234614344855575,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"556","SEFA.16369.8","57.5",0.232350503601747,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"557","SEFA.16369.9","57.5",0.20106010021853,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,NA,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"558","SEFA.16369.10","57.5",0.22869133054309,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"559","SEFA.16369.11","57.5",0.208331799776284,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"560","SEFA.16369.12","57.5",0.236339880330112,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"561","SEFA.16369.13","57.5",0.239855580472556,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"562","SEFA.16369.14","57.5",0.233617936324111,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"563","SEFA.16369.15","57.5",0.233647467653436,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"564","SEFA.16369.16","57.5",0.232944789217916,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"565","SEFA.16369.17","57.5",0.231875596267274,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"566","SEFA.16369.18","57.5",0.237167326175326,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"567","SEFA.16369.19","57.5",0.22854172744529,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"568","SEFA.16369.20","57.5",0.231519466248129,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"569","SEFA.16369.21","57.5",0.236131249630819,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"570","SEFA.16369.22","57.5",0.232888047496064,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"571","SEFA.16369.23","57.5",0.235478545769108,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"572","SEFA.16369.24","57.5",0.230760693681043,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"573","SEFA.16369.25","57.5",0.229871910841791,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"574","SEFA.16369.26","57.5",0.237224335236589,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"575","SEFA.16369.27","57.5",0.228502974850239,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"576","SEFA.16370.1","57.5",0.233178333729746,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"577","SEFA.16370.2","57.5",0.231660328105005,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"578","SEFA.16370.3","57.5",0.233400788643021,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"579","SEFA.16370.4","57.5",0.231509226417735,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"580","SEFA.16370.5","57.5",0.217234371384383,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"581","SEFA.16370.6","57.5",0.225154071802897,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"582","SEFA.16370.7","57.5",0.226723805037609,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"583","SEFA.16370.8","57.5",0.226723295264566,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"584","SEFA.16370.9","57.5",0.217795826319324,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"585","SEFA.16370.11","57.5",0.225233635583175,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"586","SEFA.16370.12","57.5",0.225383689363675,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"587","SEFA.16370.13","57.5",0.22297557283443,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"588","SEFA.16370.14","57.5",0.22719755362537,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"589","SEFA.16370.15","57.5",0.228371243881156,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"590","SEFA.17147.1","57.5",0.278145938447588,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,NA,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"591","SEFA.17171.1","57.5",0.234742848712245,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"592","SEFA.17171.2","57.5",0.240889107906684,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"593","SEFA.17171.3","57.5",0.238687661921337,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"594","SEFA.17171.4","57.5",0.229917600559682,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"595","SEFA.17171.5","57.5",0.234111114980298,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"596","SEFA.17171.6","57.5",0.233240962802454,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"597","SEFA.17171.7","57.5",0.231206405383228,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"598","SEFA.17171.8","57.5",0.235859355403081,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"599","SEFA.17171.9","57.5",0.243930328524877,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"600","SEFA.17171.10","57.5",0.228335679515989,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"601","SEFA.17171.11","57.5",0.239749493223282,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"602","SEFA.17171.12","57.5",0.236311515802327,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"603","SEFA.17171.13","57.5",0.241543648440307,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"604","SEFA.17171.14","57.5",0.244182979156704,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"605","SEFA.17171.15","57.5",0.244692432368721,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"606","SEFA.17171.16","57.5",0.238765562272144,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"607","SEFA.17171.17","57.5",0.245054742800659,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"608","SEFA.17171.18","57.5",0.236737579173797,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"609","SEFA.17171.19","57.5",0.229953148457884,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"610","SEFA.17171.20","57.5",0.243774750172663,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"611","SEFA.17171.21","57.5",0.228541161940368,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"612","SEFA.17171.22","57.5",0.235670840093593,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"613","SEFA.17171.23","57.5",0.24150750048988,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"614","SEFA.17172.1","57.5",0.23613295441124,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
"615","SEFA.17172.2","57.5",0.224398435659523,"ARN_22_00014","S14","NS.1812.001.NEBNext_dual_i7_216---NEBNext_dual_i5_264.ARN_22_00014","1812","G_21_09215","S_21_06013",321.86,263,33973,"A3","B4",5,7.5,"10mo",-2.5,44489.44,91,"24h","1812.ARN_22_00014","5","7.5","up","0",12,57,47,47,47,38,31,28,23,23,16,11,9,8,8,5,5,4,1,266,"266",1,"Group S01 (266)"
