"Effect","Df","Variance","F","Pr..F.","R2","adj.R2","Residual"
"Batch",1,237.395998609676,1.92909705835622,0.139,0.0421972196676364,0.0365816548677721,492.242725852189
"Sample",4,4896.22953130261,9.94677884335635,0.003,0.870306468034645,0.880661425204041,492.242725852189
