"","go","cluster","parent","score","size","term","parentTerm","termUniqueness","termUniquenessWithinCluster","termDispensability"
"GO:0005788","GO:0005788",3,"GO:0044224",4.61852791929416,44,"endoplasmic reticulum lumen","juxtaparanode region of axon",0.762622950819672,0.633586206896552,0.155
"GO:0098644","GO:0098644",4,"GO:0098894",4.55714206657819,0,"complex of collagen trimers","extrinsic component of presynaptic endocytic zone membrane",0.779081967213115,0.621714285714286,0.155
"GO:0062023","GO:0062023",4,"GO:0098894",4.55474368956109,101,"collagen-containing extracellular matrix","extrinsic component of presynaptic endocytic zone membrane",0.786918032786885,0.616,0.159
"GO:0030312","GO:0030312",4,"GO:0098894",4.53046331351401,0,"external encapsulating structure","extrinsic component of presynaptic endocytic zone membrane",0.713508196721311,0.573571428571429,0.256
"GO:0031012","GO:0031012",4,"GO:0098894",4.08617533902799,160,"extracellular matrix","extrinsic component of presynaptic endocytic zone membrane",0.75627868852459,0.594714285714286,0.198
"GO:1990604","GO:1990604",3,"GO:0044224",3.9003745985858,2,"IRE1-TRAF2-ASK1 complex","juxtaparanode region of axon",0.748901639344262,0.65948275862069,0.141
"GO:0034515","GO:0034515",3,"GO:0044224",3.67994743610424,1,"proteasome storage granule","juxtaparanode region of axon",0.726606557377049,0.611,0.22
"GO:0005790","GO:0005790",3,"GO:0044224",3.67436988919829,4,"smooth endoplasmic reticulum","juxtaparanode region of axon",0.729508196721312,0.595034482758621,0.194
"GO:0014701","GO:0014701",3,"GO:0044224",3.54748451337429,0,"junctional sarcoplasmic reticulum membrane","juxtaparanode region of axon",0.776081967213115,0.649724137931034,0.131
"GO:0018995","GO:0018995",5,"GO:0033655",3.45667709935309,0,"host cellular component","host cell cytoplasm part",0.707016393442623,0.517625,0.441
"GO:0043657","GO:0043657",5,"GO:0033655",3.45667709935309,0,"host cell","host cell cytoplasm part",0.749377049180328,0.4475,0.518
"GO:0005955","GO:0005955",2,"GO:1990351",3.30177513936734,6,"calcineurin complex","transporter complex",0.892901639344262,0.784666666666667,0.323
"GO:0005942","GO:0005942",1,"GO:1902495",3.23482834973673,25,"phosphatidylinositol 3-kinase complex","transmembrane transporter complex",0.79744262295082,0.690142857142857,0.443
"GO:0030314","GO:0030314",3,"GO:0044224",3.1787124077578,10,"junctional membrane complex","juxtaparanode region of axon",0.712754098360656,0.650344827586207,0.247
"GO:0071944","GO:0071944",4,"GO:0098894",3.06616110876026,7,"cell periphery","extrinsic component of presynaptic endocytic zone membrane",0.69455737704918,0.586571428571429,0.305
"GO:0042583","GO:0042583",3,"GO:0044224",3.01155801298558,2,"chromaffin granule","juxtaparanode region of axon",0.783147540983607,0.708206896551724,0.203
"GO:0036379","GO:0036379",3,"GO:0044224",3.01155801298558,0,"myofilament","juxtaparanode region of axon",0.714868852459016,0.623137931034483,0.242
