"","Transcrip_name","Compare"
"161","SEFA.2669.1","LongTerm"
"162","SEFA.2683.1","LongTerm"
"163","SEFA.2689.1","LongTerm"
"164","SEFA.2724.1","LongTerm"
"165","SEFA.2741.1","LongTerm"
"166","SEFA.2863.1","LongTerm"
"167","SEFA.2874.1","LongTerm"
"168","SEFA.2913.1","LongTerm"
"169","SEFA.2934.1","LongTerm"
"170","SEFA.2964.1","LongTerm"
"171","SEFA.2990.3","LongTerm"
"172","SEFA.3054.1","LongTerm"
"173","SEFA.3055.1","LongTerm"
"174","SEFA.3190.1","LongTerm"
"175","SEFA.3207.1","LongTerm"
"176","SEFA.3214.1","LongTerm"
"177","SEFA.3403.1","LongTerm"
"178","SEFA.3474.1","LongTerm"
"179","SEFA.3474.2","LongTerm"
"180","SEFA.3475.1","LongTerm"
"181","SEFA.3481.1","LongTerm"
"182","SEFA.3487.1","LongTerm"
"183","SEFA.3541.1","LongTerm"
"184","SEFA.3594.1","LongTerm"
"185","SEFA.3721.2","LongTerm"
"186","SEFA.3721.3","LongTerm"
"187","SEFA.3721.4","LongTerm"
"188","SEFA.3854.1","LongTerm"
"189","SEFA.3931.1","LongTerm"
"190","SEFA.3947.1","LongTerm"
"191","SEFA.3949.1","LongTerm"
"192","SEFA.3979.1","LongTerm"
"193","SEFA.3989.1","LongTerm"
"194","SEFA.4048.1","LongTerm"
"195","SEFA.4048.2","LongTerm"
"196","SEFA.4090.1","LongTerm"
"197","SEFA.4149.1","LongTerm"
"198","SEFA.4205.1","LongTerm"
"199","SEFA.4215.1","LongTerm"
"200","SEFA.4215.2","LongTerm"
"201","SEFA.4215.3","LongTerm"
"202","SEFA.4215.4","LongTerm"
"203","SEFA.4231.1","LongTerm"
"204","SEFA.4236.1","LongTerm"
"205","SEFA.4261.1","LongTerm"
"206","SEFA.4303.1","LongTerm"
"207","SEFA.4325.1","LongTerm"
"208","SEFA.4368.1","LongTerm"
"209","SEFA.4411.1","LongTerm"
"210","SEFA.4467.1","LongTerm"
"211","SEFA.4492.1","LongTerm"
"212","SEFA.4518.1","LongTerm"
"213","SEFA.4522.1","LongTerm"
"214","SEFA.4522.2","LongTerm"
"215","SEFA.4530.1","LongTerm"
"216","SEFA.4555.1","LongTerm"
"217","SEFA.4555.2","LongTerm"
"218","SEFA.4555.3","LongTerm"
"219","SEFA.4555.4","LongTerm"
"220","SEFA.4555.5","LongTerm"
"221","SEFA.4555.6","LongTerm"
"222","SEFA.4555.7","LongTerm"
"223","SEFA.4555.8","LongTerm"
"224","SEFA.4583.1","LongTerm"
"225","SEFA.4656.1","LongTerm"
"226","SEFA.4656.2","LongTerm"
"227","SEFA.4656.3","LongTerm"
"228","SEFA.4656.4","LongTerm"
"229","SEFA.4669.1","LongTerm"
"230","SEFA.4689.1","LongTerm"
"231","SEFA.4702.1","LongTerm"
"232","SEFA.4771.1","LongTerm"
"233","SEFA.4793.1","LongTerm"
"234","SEFA.4810.1","LongTerm"
"235","SEFA.4840.4","LongTerm"
"236","SEFA.4841.2","LongTerm"
"237","SEFA.4844.1","LongTerm"
"238","SEFA.4847.1","LongTerm"
"239","SEFA.4847.2","LongTerm"
"240","SEFA.4929.1","LongTerm"
"241","SEFA.4948.1","LongTerm"
"242","SEFA.4959.1","LongTerm"
"243","SEFA.5094.1","LongTerm"
"244","SEFA.5227.1","LongTerm"
"245","SEFA.5308.1","LongTerm"
"246","SEFA.5336.1","LongTerm"
"247","SEFA.5336.2","LongTerm"
"248","SEFA.5336.3","LongTerm"
"249","SEFA.5403.1","LongTerm"
"250","SEFA.5411.1","LongTerm"
"251","SEFA.5422.1","LongTerm"
"252","SEFA.5492.1","LongTerm"
"253","SEFA.5499.1","LongTerm"
"254","SEFA.5569.1","LongTerm"
"255","SEFA.5586.1","LongTerm"
"256","SEFA.5612.1","LongTerm"
"257","SEFA.5613.1","LongTerm"
"258","SEFA.5726.1","LongTerm"
"259","SEFA.5770.1","LongTerm"
"260","SEFA.5775.1","LongTerm"
"261","SEFA.5775.2","LongTerm"
"262","SEFA.5805.1","LongTerm"
"263","SEFA.5805.2","LongTerm"
"264","SEFA.5857.1","LongTerm"
"265","SEFA.5862.1","LongTerm"
"266","SEFA.5880.1","LongTerm"
"267","SEFA.5933.1","LongTerm"
"268","SEFA.5970.1","LongTerm"
"269","SEFA.5970.2","LongTerm"
"270","SEFA.6021.1","LongTerm"
"271","SEFA.6076.1","LongTerm"
"272","SEFA.6082.1","LongTerm"
"273","SEFA.6134.8","LongTerm"
"274","SEFA.6136.1","LongTerm"
"275","SEFA.6180.1","LongTerm"
"276","SEFA.6193.1","LongTerm"
"277","SEFA.6193.2","LongTerm"
"278","SEFA.6246.1","LongTerm"
"279","SEFA.6314.1","LongTerm"
"280","SEFA.6314.2","LongTerm"
"281","SEFA.6383.1","LongTerm"
"282","SEFA.6467.1","LongTerm"
"283","SEFA.6539.1","LongTerm"
"284","SEFA.6607.1","LongTerm"
"285","SEFA.6618.1","LongTerm"
"286","SEFA.6657.1","LongTerm"
"287","SEFA.6740.1","LongTerm"
"288","SEFA.6758.1","LongTerm"
"289","SEFA.6758.2","LongTerm"
"290","SEFA.6759.1","LongTerm"
"291","SEFA.6793.2","LongTerm"
"292","SEFA.6793.3","LongTerm"
"293","SEFA.6833.1","LongTerm"
"294","SEFA.6833.2","LongTerm"
"295","SEFA.6861.1","LongTerm"
"296","SEFA.6861.2","LongTerm"
"297","SEFA.6905.1","LongTerm"
"298","SEFA.6923.1","LongTerm"
"299","SEFA.6935.1","LongTerm"
"300","SEFA.7062.1","LongTerm"
"301","SEFA.7074.1","LongTerm"
"302","SEFA.7183.1","LongTerm"
"303","SEFA.7184.2","LongTerm"
"304","SEFA.7187.1","LongTerm"
"305","SEFA.7232.1","LongTerm"
"306","SEFA.7233.1","LongTerm"
"307","SEFA.7273.1","LongTerm"
"308","SEFA.7326.1","LongTerm"
"309","SEFA.7374.1","LongTerm"
"310","SEFA.7375.1","LongTerm"
"311","SEFA.7458.1","LongTerm"
"312","SEFA.7465.1","LongTerm"
"313","SEFA.7541.1","LongTerm"
"314","SEFA.7553.1","LongTerm"
"315","SEFA.7554.1","LongTerm"
"316","SEFA.7570.1","LongTerm"
"317","SEFA.7666.1","LongTerm"
"318","SEFA.7666.2","LongTerm"
"319","SEFA.7666.6","LongTerm"
"320","SEFA.7666.8","LongTerm"
"321","SEFA.7666.17","LongTerm"
"322","SEFA.7666.18","LongTerm"
"323","SEFA.7666.21","LongTerm"
"324","SEFA.7666.25","LongTerm"
"325","SEFA.7666.27","LongTerm"
"326","SEFA.7666.30","LongTerm"
"327","SEFA.7666.34","LongTerm"
"328","SEFA.7666.39","LongTerm"
"329","SEFA.7666.40","LongTerm"
"330","SEFA.7666.43","LongTerm"
"331","SEFA.7666.49","LongTerm"
"332","SEFA.7667.1","LongTerm"
"333","SEFA.7667.4","LongTerm"
"334","SEFA.7667.7","LongTerm"
"335","SEFA.7667.8","LongTerm"
"336","SEFA.7667.10","LongTerm"
"337","SEFA.7702.1","LongTerm"
"338","SEFA.7757.1","LongTerm"
"339","SEFA.7757.2","LongTerm"
"340","SEFA.7758.1","LongTerm"
"341","SEFA.7762.1","LongTerm"
"342","SEFA.7763.1","LongTerm"
"343","SEFA.7763.2","LongTerm"
"344","SEFA.7764.1","LongTerm"
"345","SEFA.7802.2","LongTerm"
"346","SEFA.7802.3","LongTerm"
"347","SEFA.7802.4","LongTerm"
"348","SEFA.7802.5","LongTerm"
"349","SEFA.7802.6","LongTerm"
"350","SEFA.7802.7","LongTerm"
"351","SEFA.7802.8","LongTerm"
"352","SEFA.7802.9","LongTerm"
"353","SEFA.7802.10","LongTerm"
"354","SEFA.7802.11","LongTerm"
"355","SEFA.7802.12","LongTerm"
