"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","test"
"SEFA.104",559.659152292021,0.610364595602521,0.208235123869402,2.93113181033436,0.00337729448680427,0.0356151054972087,"sampling"
"SEFA.270",26.2808104508187,0.51124817967682,0.108457811363806,4.71379768085042,2.43142087046106e-06,0.000310658063680938,"sampling"
"SEFA.360",8.00462328214589,0.716161561714173,0.204543725620371,3.50126389622605,0.000463057069924701,0.0102958666543661,"sampling"
"SEFA.367",5.28677876619814,1.41911689871206,0.346723657528165,4.09293357375472,4.25949773259874e-05,0.0022285894368303,"sampling"
"SEFA.509",2.06762331967462,-0.936330676994599,0.304378741954866,-3.07620259871315,0.00209655335916816,0.0263857450598522,"sampling"
"SEFA.770",88.2341725624249,0.762954302204257,0.152293471113416,5.00976369260155,5.44969094138406e-07,0.000101087607847249,"sampling"
"SEFA.884",7.95401025125695,0.6307693003721,0.144538223097347,4.36403109748537,1.27687414019758e-05,0.000970424346550161,"sampling"
"SEFA.916",143.409838181821,0.50103013234708,0.158709973517913,3.15689128566662,0.00159460785267431,0.0221212633031892,"sampling"
"SEFA.1171",8.6202690731042,-0.575956246302507,0.170262037287811,-3.38276374156683,0.000717603370002997,0.013276791836194,"sampling"
"SEFA.1225",15.6232448714552,0.587624963037459,0.131588976324911,4.46560935003046,7.98411792052014e-06,0.000714598818145234,"sampling"
"SEFA.1397",4.6027922987903,1.20073201834941,0.338581265871337,3.54636283628788,0.000390588015674468,0.00931914464461735,"sampling"
"SEFA.1425",47.3084141651579,-0.580415637971756,0.171029781389182,-3.39365245781965,0.00068967157399692,0.0129227302791856,"sampling"
"SEFA.1486",4.04778635401711,1.74209233864182,0.456654513490858,3.8149022667586,0.000136236841582368,0.0048724705695341,"sampling"
"SEFA.1913",14.7040891051043,1.46358752911819,0.455120014980916,3.21582765192069,0.00130068920730824,0.0194188497471491,"sampling"
"SEFA.1919",27.3101251848563,0.869639956079765,0.221882313174348,3.91937484172715,8.87789490673635e-05,0.00367646929408014,"sampling"
"SEFA.2443",4.63165368824858,0.972502126606168,0.346074334142399,2.81009607088058,0.00495267137652585,0.0449797813542263,"sampling"
"SEFA.2446",1.41107197202822,1.50947369183716,0.414067082630645,3.64548102265749,0.000266892110950028,0.00740390134868528,"sampling"
"SEFA.2585",84.4319938846697,-0.504022552350172,0.1051883156605,-4.79162109579668,1.65439118630389e-06,0.00023715630403992,"sampling"
"SEFA.2772",99.0854499083045,0.715404312831681,0.180994763021602,3.95262437922746,7.7298726814895e-05,0.003397435737428,"sampling"
"SEFA.2924",4.31586356303411,0.797220606213301,0.267598140368064,2.97917095057826,0.00289029476315899,0.0323155848218258,"sampling"
"SEFA.3050",17.8448856495102,-0.514616115724976,0.159088991642514,-3.23476885742893,0.00121741242433455,0.0187106520219635,"sampling"
"SEFA.3329",12.1233859032501,0.784628018366457,0.222159293960999,3.53182621522106,0.000412700479519761,0.00959155911022326,"sampling"
"SEFA.3378",3.5229973671802,-0.565637469181115,0.204591027988769,-2.76472274831213,0.00569711953421815,0.0492651356681385,"sampling"
"SEFA.3408",10.161367249644,0.568445882562139,0.194611443689551,2.92092731951025,0.00348991232537731,0.0362921118507896,"sampling"
"SEFA.3480",16.4720425957431,-0.806675335203352,0.236989735854352,-3.40384081316971,0.00066445464255311,0.0126246382085091,"sampling"
"SEFA.3492",14.6304395386091,0.528657947598785,0.146917525648403,3.59833141257734,0.000320265348522263,0.00823165980341771,"sampling"
"SEFA.3586",1.77498314600148,-1.35099500893889,0.425286665988328,-3.17666909635951,0.00148976911716861,0.0211222074944983,"sampling"
"SEFA.3945",25.2784848801147,0.584189464280348,0.175207641216559,3.33426932880331,0.000855238033730524,0.0149896192949668,"sampling"
"SEFA.4236",6.96996080496206,1.14884968252536,0.29057559776993,3.95370324054185,7.69508411045718e-05,0.00339199307588952,"sampling"
"SEFA.4325",6.95546280829998,1.03175933081123,0.277394793568317,3.71946177337724,0.000199647759116685,0.00632875777125582,"sampling"
"SEFA.4492",9.77640657861609,0.817628596786542,0.220228051566221,3.71264510116545,0.000205104400990149,0.00639865271883098,"sampling"
"SEFA.4770",5.96201306571851,-0.652542787728136,0.177968384793274,-3.6666219592099,0.000245775726809064,0.00705784627866028,"sampling"
"SEFA.4810",7.50992870196279,0.607334826061783,0.216138675039521,2.80993129041219,0.00495520774749183,0.0449797813542263,"sampling"
"SEFA.5064",12.1660529590054,1.70635424826966,0.56651219700968,3.01203444034676,0.00259503153712376,0.0299056183415465,"sampling"
"SEFA.5153",7.01135351524331,-0.658326457226939,0.166027188732304,-3.96517258560825,7.33428616522367e-05,0.00326834814100028,"sampling"
"SEFA.5182",17.1130415429461,2.10111208836643,0.470506966405563,4.46563438670817,7.98318420507584e-06,0.000714598818145234,"sampling"
"SEFA.5245",2.10249175158524,1.12426378369051,0.326892656111934,3.43924454303295,0.000583340037043448,0.0116115763377993,"sampling"
"SEFA.5260",3.78224820308985,0.589090466356892,0.178672415852596,3.29704203945442,0.000977088750451351,0.0163323143122581,"sampling"
"SEFA.5411",20.829076252795,0.970137302906348,0.323841473176847,2.99571668010714,0.00273800697427218,0.0310104735167712,"sampling"
"SEFA.5492",13.7799889973025,0.561195917299572,0.144401426764728,3.88635991951743,0.000101758601536095,0.00402288713516689,"sampling"
"SEFA.5499",49.1965010097682,1.94505169156378,0.429838901697916,4.52507133226097,6.03751385421712e-06,0.000578615908677627,"sampling"
