ID_GQ,score.PC1,score.PC2,Clust.name,Expected.pop
S_21_06027,-2.6779409804523273,-1.4608624286536924,NA,GSL2
S_21_06028,-2.3653199351816427,-1.3938395262304915,NA,GSL2
S_21_06029,-1.7130988501654487,-0.566923383316573,NA,GSL2
S_21_06030,-4.295027667255775,-0.19928468873034735,NA,GSL2
S_21_06031,-3.329320864153025,-2.035848436211967,NA,GSL2
S_21_06033,-3.5413876196143503,-1.1835378086907493,NA,GSL2
S_21_06034,-3.699798193951879,-0.923159278413436,NA,GSL2
S_21_06036,7.84837611618959,-5.997813673478784,NA,Other
S_21_06037,4.23974058443188,-5.306651738257125,NA,Other
S_21_06038,-3.239547693840783,0.6414194499069487,NA,GSL2
S_21_06039,-4.448777261718552,1.5296879533194807,NA,GSL2
S_21_06040,-1.9537619149982233,0.05084735434694741,NA,GSL2
S_21_06041,-4.552130798811041,-0.6221815581870943,NA,GSL2
S_21_06042,-2.6163766776991295,-0.11005528442002072,NA,GSL2
S_21_06043,-2.5326527377207677,-0.327328073047174,NA,GSL2
S_21_06044,-2.182556743640796,-1.0714548342094123,NA,GSL2
S_21_06045,-3.415284260202638,-0.8787581709514697,NA,GSL2
S_21_06047,-4.104816864823391,-1.068214223160438,NA,GSL2
S_21_06048,-3.8030539085988484,0.0789048066377665,NA,GSL2
S_21_06049,-2.4842314562047028,-1.1955972018119214,NA,GSL2
S_21_06050,-2.419604508146413,-1.3448871189761624,NA,GSL2
S_21_06051,-2.5831215652576422,-0.6696812271567056,NA,GSL2
S_21_06052,-3.5866139971243767,0.033229368319591036,NA,GSL2
S_21_06053,-3.4574608088680003,-0.4385803081604061,NA,GSL2
S_21_06054,-4.5358782574552015,-0.19033036380925952,NA,GSL2
S_21_06055,-2.8184333796347216,-1.3340538597392881,NA,GSL2
S_21_06056,-2.9338939900550227,-0.15142462221069236,NA,GSL2
S_21_06057,-2.7847075472285767,0.4141818123898678,NA,GSL2
S_21_06058,-2.762978625420919,-0.45655358857194633,NA,GSL2
S_21_06060,-3.1118194215075015,-0.2006696487881125,NA,GSL2
S_21_06061,-3.5662740956719827,-0.5629953075448837,NA,GSL2
S_21_06062,-3.81643498087576,0.1349654163137117,NA,GSL2
S_21_06063,-4.214975360860704,-0.11009168285756385,NA,GSL2
S_21_06064,-2.59441277542222,-0.2829184352022674,NA,GSL2
S_21_06065,-3.5471707407405275,-1.7334192465088947,NA,GSL2
S_21_06066,-2.189662732831209,-0.5364060478139498,NA,GSL2
S_21_06067,-1.8948898980759608,-1.4710581234286961,NA,GSL2
S_21_06068,-0.9702317225287639,-1.431481609473131,NA,GSL2
S_21_06069,-2.8101230076277255,-0.3687687670539723,NA,GSL2
S_21_06070,-3.4208864528091314,-0.042507042206885795,NA,GSL2
S_21_06071,-2.372158658979384,-0.6808166689469451,NA,GSL2
