"","ID_sample","ID_lab","Lib","Seq_batch","Numero_unique_groupe","Numero_unique_specimen","Weight","Length","TAG","Tank_exp","Tank_sample","Temperature_acclim","Temperature_sampling","Delta_acclim","Delta_temperature","DatHr_euthan","deltaT.ARN","Time","Sex_genet","ID","acclim","sampling","Delta_short","Delta_long"
"29","ARN_22_00009","S09","NS.1828.004.NEBNext_dual_i7_112---NEBNext_dual_i5_112.ARN_22_00009","1828","G_21_09215","S_21_06008",139.7,198,33764,"A2","A2",5,5,"10mo",0,44489.42,115,"10mo","F","1828.ARN_22_00009","5","5","0","0"
"31","ARN_22_00012","S12","NS.1828.004.NEBNext_dual_i7_114---NEBNext_dual_i5_114.ARN_22_00012","1828","G_21_09215","S_21_06011",162.25,209,34478,"B1","A2",7.5,5,"10mo",2.5,44489.43,112,"24h","M","1828.ARN_22_00012","7.5","5","-2.5","2.5"
"32","ARN_22_00013","S13","NS.1828.004.NEBNext_dual_i7_115---NEBNext_dual_i5_115.ARN_22_00013","1828","G_21_09215","S_21_06012",191.25,228,34024,"A3","B4",5,7.5,"3mo",-2.5,44489.44,81,"24h","F","1828.ARN_22_00013","5","7.5","2.5","0"
"33","ARN_22_00015","S15","NS.1828.004.NEBNext_dual_i7_116---NEBNext_dual_i5_116.ARN_22_00015","1828","G_21_09215","S_21_06014",260.22,244,34045,"B4","B4",7.5,7.5,"3mo",0,44489.44,94,"3mo","M-LOW","1828.ARN_22_00015","7.5","7.5","0","2.5"
"34","ARN_22_00016","S16","NS.1828.004.NEBNext_dual_i7_117---NEBNext_dual_i5_117.ARN_22_00016","1828","G_21_09215","S_21_06015",296.84,250,33861,"B4","B4",7.5,7.5,"3mo",0,44489.45,112,"3mo","M","1828.ARN_22_00016","7.5","7.5","0","2.5"
"35","ARN_22_00017","S17","NS.1828.004.NEBNext_dual_i7_118---NEBNext_dual_i5_118.ARN_22_00017","1828","G_21_09215","S_21_06016",146.03,208,34448,"A3","B4",5,7.5,"3mo",-2.5,44489.45,88,"24h","M","1828.ARN_22_00017","5","7.5","2.5","0"
"36","ARN_22_00018","S18","NS.1828.004.NEBNext_dual_i7_119---NEBNext_dual_i5_119.ARN_22_00018","1828","G_21_09215","S_21_06017",214.25,234,33956,"B4","B4",7.5,7.5,"3mo",0,44489.46,123,"3mo","M","1828.ARN_22_00018","7.5","7.5","0","2.5"
"38","ARN_22_00020","S20","NS.1828.004.NEBNext_dual_i7_121---NEBNext_dual_i5_121.ARN_22_00020","1828","G_21_09215","S_21_06019",189.98,220,34374,"A2","B1",5,7.5,"10mo",-2.5,44489.47,95,"24h","M","1828.ARN_22_00020","5","7.5","2.5","0"
"39","ARN_22_00021","S21","NS.1828.004.NEBNext_dual_i7_122---NEBNext_dual_i5_122.ARN_22_00021","1828","G_21_09215","S_21_06020",114.7,195,33781,"A2","B1",5,7.5,"3mo",-2.5,44489.47,106,"24h","F","1828.ARN_22_00021","5","7.5","2.5","0"
"40","ARN_22_00022","S22","NS.1828.004.NEBNext_dual_i7_123---NEBNext_dual_i5_123.ARN_22_00022","1828","G_21_09215","S_21_06021",214.3,234,34039,"B1","B1",7.5,7.5,"10mo",0,44489.47,102,"10mo","M","1828.ARN_22_00022","7.5","7.5","0","2.5"
"41","ARN_22_00023","S23","NS.1828.004.NEBNext_dual_i7_124---NEBNext_dual_i5_124.ARN_22_00023","1828","G_21_09215","S_21_06022",159.46,211,34156,"B1","B1",7.5,7.5,"10mo",0,44489.48,116,"10mo","F","1828.ARN_22_00023","7.5","7.5","0","2.5"
"42","ARN_22_00024","S24","NS.1828.004.NEBNext_dual_i7_125---NEBNext_dual_i5_125.ARN_22_00024","1828","G_21_09215","S_21_06023",168.24,216,34348,"A2","B1",5,7.5,"10mo",-2.5,44489.48,107,"24h","M","1828.ARN_22_00024","5","7.5","2.5","0"
"45","ARN_22_00035","S35","NS.1828.004.NEBNext_dual_i7_128---NEBNext_dual_i5_128.ARN_22_00035","1828","G_21_09215","S_21_06034",195.54,231,34423,"A2","C3",5,2.5,"3mo",2.5,44489.55,92,"24h","M","1828.ARN_22_00035","5","2.5","-2.5","0"
"46","ARN_22_00036","S36","NS.1828.004.NEBNext_dual_i7_129---NEBNext_dual_i5_129.ARN_22_00036","1828","G_21_09215","S_21_06035",178.47,215,34436,"C3","C3",2.5,2.5,"10mo",0,44489.56,81,"10mo","M","1828.ARN_22_00036","2.5","2.5","0","-2.5"
"47","ARN_22_00038","S38","NS.1828.004.NEBNext_dual_i7_130---NEBNext_dual_i5_130.ARN_22_00038","1828","G_21_09215","S_21_06037",142.41,197,34286,"B4","D3",7.5,10,"3mo",-2.5,44489.57,81,"24h","M","1828.ARN_22_00038","7.5","10","2.5","2.5"
"48","ARN_22_00039","S39","NS.1828.004.NEBNext_dual_i7_131---NEBNext_dual_i5_131.ARN_22_00039","1828","G_21_09215","S_21_06038",174.43,216,34138,"D3","D3",10,10,"10mo",0,44489.57,89,"10mo","F","1828.ARN_22_00039","10","10","0","5"
"49","ARN_22_00040","S40","NS.1828.004.NEBNext_dual_i7_132---NEBNext_dual_i5_132.ARN_22_00040","1828","G_21_09215","S_21_06039",221.53,235,34542,"D3","D3",10,10,"3mo",0,44489.57,72,"3mo","F","1828.ARN_22_00040","10","10","0","5"
"50","ARN_22_00041","S41","NS.1828.004.NEBNext_dual_i7_133---NEBNext_dual_i5_133.ARN_22_00041","1828","G_21_09215","S_21_06040",108.84,180,34038,"B4","D3",7.5,10,"3mo",-2.5,44489.58,97,"24h","F","1828.ARN_22_00041","7.5","10","2.5","2.5"
"51","ARN_22_00042","S42","NS.1828.004.NEBNext_dual_i7_134---NEBNext_dual_i5_134.ARN_22_00042","1828","G_21_09215","S_21_06041",229.58,238,33950,"D3","D3",10,10,"10mo",0,44494.34,141,"10mo","F","1828.ARN_22_00042","10","10","0","5"
"52","ARN_22_00043","S43","NS.1828.004.NEBNext_dual_i7_135---NEBNext_dual_i5_135.ARN_22_00043","1828","G_21_09215","S_21_06042",283.61,254,34175,"B1","D1",7.5,10,"3mo",-2.5,44489.58,69,"24h","M-LOW","1828.ARN_22_00043","7.5","10","2.5","2.5"
"53","ARN_22_00045","S45","NS.1828.004.NEBNext_dual_i7_136---NEBNext_dual_i5_136.ARN_22_00045","1828","G_21_09215","S_21_06044",118.69,190,33777,"B1","D1",7.5,10,"10mo",-2.5,44489.59,92,"24h","M","1828.ARN_22_00045","7.5","10","2.5","2.5"
"54","ARN_22_00046","S46","NS.1828.004.NEBNext_dual_i7_137---NEBNext_dual_i5_137.ARN_22_00046","1828","G_21_09215","S_21_06045",172.87,216,34439,"B1","D1",7.5,10,"10mo",-2.5,44489.59,89,"24h","M","1828.ARN_22_00046","7.5","10","2.5","2.5"
"1","ARN_22_00001","S01","NS.1812.001.NEBNext_dual_i7_203---NEBNext_dual_i5_251.ARN_22_00001","1812","G_21_09215","S_21_06000",161.44,210,33984,"B4","A3",7.5,5,"3mo",2.5,44489.36,114,"24h","M","1812.ARN_22_00001","7.5","5","-2.5","2.5"
"2","ARN_22_00003","S03","NS.1812.001.NEBNext_dual_i7_205---NEBNext_dual_i5_253.ARN_22_00003","1812","G_21_09215","S_21_06002",267.84,245,34021,"A3","A3",5,5,"10mo",0,44489.38,170,"10mo","F","1812.ARN_22_00003","5","5","0","0"
"4","ARN_22_00010","S10","NS.1812.001.NEBNext_dual_i7_212---NEBNext_dual_i5_260.ARN_22_00010","1812","G_21_09215","S_21_06009",222.79,232,33933,"A2","A2",5,5,"10mo",0,44489.43,88,"10mo","F","1812.ARN_22_00010","5","5","0","0"
"7","ARN_22_00019","S19","NS.1812.001.NEBNext_dual_i7_221---NEBNext_dual_i5_269.ARN_22_00019","1812","G_21_09215","S_21_06018",103.64,183,33707,"B1","B1",7.5,7.5,"3mo",0,44489.46,103,"3mo","M","1812.ARN_22_00019","7.5","7.5","0","2.5"
"16","ARN_22_00033","S33","NS.1812.001.NEBNext_dual_i7_235---NEBNext_dual_i5_283.ARN_22_00033","1812","G_21_09215","S_21_06032",259.47,246,34353,"C3","C3",2.5,2.5,"3mo",0,44489.55,87,"3mo","M","1812.ARN_22_00033","2.5","2.5","0","-2.5"
